Codigo,Nombre,Descripcion,Categoria,UM,Stock Medio,Stock Minimo,P. compra,P. publico,P. menudeo,P. mayoreo,Moneda,Control stock,Fecha Modificacion,Usuario Modificacion
1046,MANTELES SEGUN TELA Y PORTE,MANTELES SEGUN TELA Y PORTE,P. CASA,Un,0,0,7.5,15,15,15,Soles,NO,30/06/2022,TATI
1045,FRAZADA DE LANA 2 PLAZAS,FRAZADA DE LANA 2 PLAZAS,P. CASA,Un,0,0,6.5,14,14,14,Soles,NO,10/08/2022,TATI
1044,FRAZADA DE LANA 1 1/2 PLAZA,FRAZADA DE LANA 1 1/2 PLAZA,P. CASA,Un,0,0,6.0,12,12,12,Soles,NO,30/06/2022,TATI
1043,FRAZADA POLAR 2 PLAZAS,FRAZADA POLAR 2 PLAZAS,P. CASA,Un,0,0,9.0,18,18,18,Soles,NO,30/04/2024,TATI
1042,FRAZADA POLAR 1 1/2 PLAZA,FRAZADA POLAR 1 1/2 PLAZA,P. CASA,Un,0,0,8.0,16,16,16,Soles,NO,30/04/2024,TATI
1041,CORTINAS SIN PLIZAR POR METRO,CORTINAS SIN PLIZAR POR METRO,P. CASA,Mt,0,0,5.0,10,10,10,Soles,NO,22/12/2021,TATI
1040,CORTINAS PLIZADAS POR METRO DE ANCHO,CORTINAS PLIZADAS POR METRO DE ANCHO,P. CASA,Mt,0,0,6.0,12,12,12,Soles,NO,22/12/2021,TATI
1037,COBERTOR DE PLUMAS QUEEN,COBERTOR DE PLUMAS QUEEN,P. CASA,Un,0,0,12.5,27,27,27,Soles,NO,10/08/2022,TATI
1036,COBERTOR DE PLUMAS 2 PLAZAS,COBERTOR DE PLUMAS 2 PLAZAS,P. CASA,Un,0,0,11.0,24,24,24,Soles,NO,10/08/2022,TATI
1035,COBERTOR DE PLUMAS 1 1/2 PLAZA,COBERTOR DE PLUMAS 1 1/2 PLAZA,P. CASA,Un,0,0,10.0,21,21,21,Soles,NO,10/08/2022,TATI
1033,COBERTOR DE PELUCHE QUEEN,COBERTOR DE PELUCHE QUEEN,P. CASA,Un,0,0,12.0,26,26,26,Soles,NO,10/08/2022,TATI
1032,COBERTOR DE PELUCHE 2 PLAZAS,COBERTOR DE PELUCHE 2 PLAZAS,P. CASA,Un,0,0,11.0,23,23,23,Soles,NO,10/08/2022,TATI
1031,COBERTOR DE PELUCHE 1 1/2 PLAZA,COBERTOR DE PELUCHE 1 1/2 PLAZA,P. CASA,Un,0,0,10.0,20,20,20,Soles,NO,10/08/2022,TATI
1029,COBERTOR DE NYLON QUEEN,COBERTOR DE NYLON QUEEN,P. CASA,Un,0,0,11.0,25,25,25,Soles,NO,10/08/2022,TATI
1028,COBERTOR DE NYLON 2 PLAZA,COBERTOR DE NYLON 2 PLAZA,P. CASA,Un,0,0,10.0,22,22,22,Soles,NO,10/08/2022,TATI
1027,COBERTOR DE NYLON 1 1/2 PLAZA,COBERTOR DE NYLON 1 1/2 PLAZA,P. CASA,Un,0,0,9.0,19,19,19,Soles,NO,4/10/2023,TATI
1025,"ALFOMBRA POR METRO CUADRADO ""M2""","ALFOMBRA POR METRO CUADRADO ""M2""",P. CASA,Un,0,0,6.0,15,15,15,Soles,NO,30/04/2024,TATI
1024,VESTIDO DE NOVIA,VESTIDO DE NOVIA,P. VESTIR,Un,0,0,40.0,130,130,130,Soles,NO,30/04/2024,TATI
1023,VESTIDO DE FIESTA,VESTIDO DE FIESTA,P. VESTIR,Un,0,0,10.0,35,35,35,Soles,NO,30/04/2024,TATI
1022,UNIFORME DE COLEGIO,UNIFORME DE COLEGIO,P. VESTIR,Un,0,0,8.5,20,20,20,Soles,NO,10/08/2022,TATI
1021,TERNO DE 3 PZS (BEBE O NIÑO),TERNO DE 3 PZS (BEBE O NIÑO),P. VESTIR,Un,0,0,10.0,20,20,20,Soles,NO,30/04/2024,TATI
1020,TERNO DE 2 PZS (BEBE O NIÑO),TERNO DE 2 PZS (BEBE O NIÑO),P. VESTIR,Un,0,0,8.5,17,17,17,Soles,NO,30/04/2024,TATI
1019,TERNO DE 3 PZS (ADULTO),TERNO DE 3 PZS (ADULTO),P. VESTIR,Un,0,0,12.0,27,27,27,Soles,NO,30/04/2024,TATI
1018,TERNO DE 2 PZS (ADULTO),TERNO DE 2 PZS (ADULTO),P. VESTIR,Un,0,0,10.0,21,21,21,Soles,NO,30/04/2024,TATI
1017,SACO DE TERNO SIMPLE,SACO DE TERNO SIMPLE,P. VESTIR,Un,0,0,5.0,13,13,13,Soles,NO,30/04/2024,TATI
1016,SACO DE PAÑO O LANILLA,SACO DE PAÑO O LANILLA,P. VESTIR,Un,0,0,7.5,15,15,15,Soles,NO,30/04/2024,TATI
1015,POLO,POLO,P. VESTIR,Un,0,0,2.5,6,6,6,Soles,NO,30/04/2024,TATI
1014,PANTALON CUALQUIER TELA,PANTALON CUALQUIER TELA,P. VESTIR,Un,0,0,3.0,8,8,8,Soles,NO,31/08/2022,TATI
1013,MAMELUCOS E IMPERMEABLES,MAMELUCOS E IMPERMEABLES,P. VESTIR,Un,0,0,6.5,13,13,13,Soles,NO,10/04/2017,jcanevaro
1012,FALDAS TABLEADAS DE SEDA O LANA,FALDAS TABLEADAS DE SEDA O LANA,P. VESTIR,Un,0,0,4.0,8,8,8,Soles,NO,10/04/2017,jcanevaro
1011,CORBATAS,CORBATAS,P. VESTIR,Un,0,0,2.5,5,5,5,Soles,NO,19/03/2022,TATI
1010,CHOMPA SIMPLE,CHOMPA SIMPLE,P. VESTIR,Un,0,0,4.0,12,12,12,Soles,NO,30/04/2024,TATI
1009,CHALECO DE TERNO,CHALECO DE TERNO,P. VESTIR,Un,0,0,3.0,6,6,6,Soles,NO,10/04/2017,jcanevaro
1008,CASACA DE PLUMAS,CASACA DE PLUMAS,P. VESTIR,Un,0,0,7.0,20,20,20,Soles,NO,29/09/2023,TATI
1007,CASACA SIMPLE,CASACA SIMPLE,P. VESTIR,Un,0,0,6.0,12,12,12,Soles,NO,19/03/2022,TATI
1005,CAMISA,CAMISA,P. VESTIR,Un,0,0,3.5,7,7,7,Soles,NO,19/03/2022,TATI
1004,BLEISER DE COLEGIO MEDIDA: M - L,BLEISER DE COLEGIO MEDIDA: M - L,P. VESTIR,Un,0,0,6.0,13,13,13,Soles,NO,30/04/2024,TATI
1003,BANDERA DE TELA SIMPLE,BANDERA DE TELA SIMPLE,P. VESTIR,Un,0,0,7.5,15,15,15,Soles,NO,10/04/2017,jcanevaro
1002,ABRIGO DE NIÑO,ABRIGO DE NIÑO,P. VESTIR,Un,0,0,6.0,15,15,15,Soles,NO,30/04/2024,TATI
1001,ABRIGO DE DAMA O CABALLERO,ABRIGO DE DAMA O CABALLERO,P. VESTIR,Un,0,0,7.5,20,20,20,Soles,NO,29/09/2023,TATI
1000,ABRIGO DE BEBE,ABRIGO DE BEBE,P. VESTIR,Un,0,0,6.0,14,14,14,Soles,NO,10/08/2022,TATI
